1	1	1101	0	0	0.050	-0.003	0.00001	0.00000	0.00003	0.00001
1	1	1101	1	0	29.934	-26.969	0.00002	-0.00002	-0.00057	0.00068
1	1	1101	2	0	-0.190	0.442	0.00126	0.00143	-0.00021	0.00001
1	1	1101	3	0	28.740	-26.486	-0.00108	0.00133	-0.00166	0.00223
1	2	1101	0	0	-0.145	24.100	0.00004	0.00007	0.00001	0.00000
1	2	1101	1	0	29.715	-2.867	0.00004	0.00005	-0.00057	0.00063
1	2	1101	2	0	-1.556	24.956	-0.00063	0.00196	-0.00136	0.00173
1	2	1101	3	0	29.527	-2.227	0.00045	0.00098	-0.00116	0.00083
1	3	1101	0	0	-0.719	28.182	0.00002	0.00007	-0.00002	0.00000
1	3	1101	1	0	29.125	1.264	0.00003	0.00006	-0.00061	0.00065
1	3	1101	2	0	-0.919	28.573	0.00129	0.00146	-0.00016	0.00000
1	3	1101	3	0	29.059	1.411	0.00082	0.00088	-0.00065	0.00070
1	4	1101	0	0	-1.155	31.487	0.00008	0.00007	0.00000	0.00002
1	4	1101	1	0	28.642	4.588	0.00004	0.00007	-0.00060	0.00063
1	4	1101	2	0	-1.275	31.772	0.00147	0.00155	-0.00006	-0.00001
1	4	1101	3	0	28.567	4.902	0.00066	0.00089	-0.00084	0.00074
1	1	1102	0	0	0.075	0.011	0.00001	-0.00001	-0.00001	-0.00002
1	1	1102	1	0	29.976	-26.983	0.00002	-0.00001	-0.00062	0.00067
1	1	1102	2	0	-1.134	-0.021	0.00236	0.00105	-0.00028	0.00034
1	1	1102	3	0	29.343	-26.849	0.00086	0.00069	-0.00056	0.00079
1	2	1102	0	0	-0.536	23.401	0.00002	0.00005	-0.00002	-0.00001
1	2	1102	1	0	29.334	-3.522	0.00001	0.00005	-0.00061	0.00063
1	2	1102	2	0	-1.127	23.771	0.00147	0.00149	0.00010	0.00004
1	2	1102	3	0	28.675	-3.411	0.00102	0.00075	-0.00063	0.00084
1	3	1102	0	0	-1.134	27.019	0.00001	0.00005	-0.00002	-0.00002
1	3	1102	1	0	28.729	0.060	0.00003	0.00004	-0.00062	0.00065
1	3	1102	2	0	-2.077	27.103	0.00211	0.00111	-0.00031	0.00047
1	3	1102	3	0	28.510	0.133	0.00082	0.00087	-0.00061	0.00067
1	4	1102	0	0	-1.668	30.370	0.00002	0.00009	-0.00002	0.00000
1	4	1102	1	0	28.123	3.475	0.00002	0.00009	-0.00058	0.00063
1	4	1102	2	0	-1.857	30.602	0.00155	0.00147	-0.00010	0.00005
1	4	1102	3	0	27.803	3.581	0.00084	0.00079	-0.00063	0.00068
1	1	1101	0	0	0.045	0.003	-0.00001	-0.00002	0.00001	-0.00001
1	1	1101	1	0	29.921	-26.954	0.00001	-0.00001	-0.00059	0.00068
1	1	1101	2	0	-0.196	0.379	0.00132	0.00140	-0.00013	0.00001
1	1	1101	3	0	29.739	-26.605	0.00056	0.00077	-0.00085	0.00081
1	1	1102	0	0	0.058	0.013	0.00002	-0.00005	-0.00001	-0.00001
1	1	1102	1	0	29.935	-26.971	0.00005	-0.00004	-0.00062	0.00068
1	1	1102	2	0	-0.474	0.158	0.00161	0.00120	-0.00012	0.00014
1	1	1102	3	0	29.492	-26.851	0.00073	0.00074	-0.00055	0.00074
1	2	1101	0	0	-0.165	24.122	0.00001	0.00007	-0.00002	0.00001
1	2	1101	1	0	29.702	-2.849	0.00003	0.00005	-0.00059	0.00062
1	2	1101	2	0	-0.315	24.700	0.00116	0.00149	-0.00037	0.00021
1	2	1101	3	0	29.504	-2.526	0.00063	0.00081	-0.00083	0.00073
1	2	1102	0	0	-0.584	23.395	0.00004	0.00003	-0.00001	0.00000
1	2	1102	1	0	29.292	-3.517	0.00005	0.00001	-0.00061	0.00063
